isbn13,description,loanCnt,keyword
9788960162457,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,408,
9788960162563,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,380,
9788960162594,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,256,
9788993828818,"일 년 내내 눈이 녹지 않는 추운 곳에도 새들이 살고 있습니다. 다양한 모습의 펭귄들과 퍼핀, 눈처럼 하얀 털을 가진 흰올빼미와 흰기러기, 날개가 커다란 앨버트로스도 살고 있지요. 춥지만 서로를 의지하며 따뜻하게 지내는 추운 지방에서 사는 새들을 만나 보세요.",817,
9791165953683,,945,
9791165953546,,1574,
9788994730394,,182,
9788959042258,,261,
9788993828894,"사슴, 혹고니, 판다, 원숭이, 기린, 말 모든 아기 동물들에게 엄마는 세상에서 소중한 존재입니다. 갓 태어난 아기 동물들은 엄마 품에 안겨 냠냠 젖을 먹고, 잠이 들지요. 아기 사슴은 엄마 사슴에게 코를 맞대며 “엄마, 사랑해요.”라고 말하는 것 같습니다. 엄마와 아기 동물들의 대화를 상상하면 동물들을...",686,
9791165951245,,3730,
9791165953652,,988,
9788960163218,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,346,
9788994730332,,211,
9788959042579,,210,
9788959042289,,385,
9788959042210,,323,
9788960163249,유아들의 눈높이에 맞추어 꾸민 책으로 우리 주변에 있는 궁금증을 풀어가며 흥미를 갖게 하여 스스로 기초 과학의 원리를 터득하게 하는 테마 그림동화책이다. 유아개발 전문가와 국내 여론 조사를 통해 다년간 기획 제작하여 완성된 책이다.,359,
